,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
65,J1231+0052,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,12:31:37.77,+00:52:30.30,,6.69,,,2.357e8,2.037e7,1.875e7,,,,,,,-24.39,0.09,0.09,,,,,,,,,,,,,mass using formula [1]
66,J2232+2930/J338.2+29.50,"Banados et al. (2016), Wang et al. (2019), Mazzucchelli et al. (2017)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/aa9185/pdf",PSO,22:32:55.14,+29:30:32.31,,6.666,0.0004,0.0004,2.70e9,0.85e9,0.97e9,4.04e47,2.14e47,0.90e47,1.151,0.709236,0.486553,-26.31,0.15,0.15,,,,,,,,,,,,,"z, M1450 from Wang et al. (2019), L_bol, mass, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2017)"
67,J1216+4519,"Wang et al. (2019), Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",DELS,12:16:27.58,+45:19:10.70,,6.654,0.01,0.01,0.61e9,0.20e9,0.20e9,5.8e46,1.2e46,1.2e46,0.8,0.3,0.3,-25.58,0.14,0.14,,,,<16-104,,,,,,,,,"mass, L_bol, f_Edd from Yang et al. (2021), coordinates, SFR_CII from Wang et al. (2024)"
68,J2102-1458,"Wang et al. (2019), Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",VHS,21:02:19.23,-14:58:53.90,,6.6645,0.0002,0.0002,0.74e9,0.11e9,0.11e9,6.0e46,0.5e46,0.5e46,0.6,0.1,0.1,-25.50,0.2,0.2,,,,81-511,,,,,,,,,"z, mass, L_bol, f_Edd from Yang et al. (2021), coordinates, SFR_CII from Wang et al. (2024)"
69,J0910-0414,"Wang et al. (2019), Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",DELS,09:10:54.54,-04:14:06.90,,6.6363,0.0003,0.0003,3.59e9,0.61e9,0.61e9,15.0e46,1.1e46,1.1e46,0.3,0.1,0.1,-26.36,0.15,0.15,,,,271-1697,,,,,,,,,"z, mass, L_bol, f_Edd from Yang et al. (2021), coordinates, SFR_CII from Wang et al. (2024)"
70,J1048-0109,"Venemans et al. (2020), Wang et al. (2019), ","https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,10:48:19.077,-01:09:40.42,,6.6759,0.0002,0.0002,1.010e9,1.822e8,1.543e8,,,,,,,-25.97,0.18,0.18,,,,,,,,,,,,,"M1450 from Wang et al. (2019), mass using formula [1]"
71,J0024+3913/J006.1+39.22,"Tang et al. (2017), Koptelova et al. (2019)","https://academic.oup.com/mnras/article/466/4/4568/2712523, https://arxiv.org/pdf/1907.07458",PSO,00:24:29.77,+39:13:18.95,,6.61,0.02,0.02,2.19e8,0.30e8,0.30e8,,,,,,,-25.96,0.08,0.08,,,,,,,,,,,,,mass from Koptelova et al. (2019)
72,J0305-3150,Mazzucchelli et al. (2017),https://iopscience.iop.org/article/10.3847/1538-4357/aa9185/pdf,VIK,03:05:16.916,-31:50:55.90,,6.6145,0.0001,0.0001,0.90e9,0.29e9,0.27e9,0.75e47,0.10e47,0.34e47,0.641026,0.223538,0.348468,-26.13,,,,,,,,,,,,,,,f_Edd recalculated using formula [2]
73,J0923+0402,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS/HSC,09:23:47.12,+04:02:54.40,,6.6330,0.0003,0.0003,1.77e9,0.02e9,0.02e9,21.7e46,3.0e46,3.0e46,1.0,0.1,0.1,-26.61,0.11,0.11,,,,116-729,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019), additional information here: https://arxiv.org/pdf/2306.16474  Mazzucchelli et al. (2023)"
74,J2132+1217/P323+12/J323.1+12.29,"Mazzucchelli et al. (2017), Wang et al. (2019), Mazzucchelli et al. (2023)","https://arxiv.org/pdf/1710.01251, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://arxiv.org/pdf/2306.16474",PSO,21:32:33.191,+12:17:55.26,,6.5881,0.0003,0.0003,8.318e8,1.915e8,2.008e8,1.862e47,2.759e46,2.772e46,1.722093,0.47153,0.488433,-27.04,0.12,0.12,,,,,,,,,,,,,"M1450 from Wang et al. (2019), mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
