,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
90,J0210-0456,"Banados et al. (2016), Willott et al. (2015)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.1088/0004-637X/801/2/123#apj509348t2",CFHQS,02:10:13.19,-04:56:20.90,,6.4323,0.0005,0.0005,0.8e8,1.0e8,0.6e8,,,,,,,-24.53,,,,,,,,,,,,,,,"z, mass from Willott et al. (2015)"
91,J0045+0901/J011.3+09.03,Mazzucchelli et al. (2017),https://arxiv.org/pdf/1710.01251,PSO,00:45:33.568, +09:01:56.96,,6.42,0.05,0.05,9.917e8,,,,,,,,,-25.95,,,,,,,,,,,,,,,mass using formula [1]
92,J1148+5251,"Banados et al. (2016), Willott et al. (2015)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.1088/0004-637X/801/2/123#apj509348t2",SDSS,11:48:16.65,+52:51:50.39,,6.4189,0.0006,0.0006,4.9e9,4.9e9,2.5e9,,,,,,,-27.62,,,,,,,,,,,,,,,"z, mass from Willott et al. (2015)"
93,J2329-0301,"Banados et al. (2016), Ishimoto et al. (2020)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",CFHQS,23:29:08.28,-03:01:58.80,,6.4164,0.0008,0.0008,5.205e8,,,,,,,,,-25.25,,,,,,,,,,,,,,,"z from Ishimoto et al. (2020), mass using formula [1]"
94,J0216-5226,Yang et al. (2019),https://iopscience.iop.org/article/10.3847/1538-3881/ab1be1/meta,DES,02:16:38.85,-52:26:20.60,,6.41,,,4.925e8,9.419e7,7.906e7,,,,,,,-25.19,0.19,0.19,,,,,,,,,,,,,mass using formula [1]
95,J1004+0239,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,10:04:01.36,+02:39:30.70,,6.41,,,2.657e8,7.444e6,7.241e6,1.862e44,4.337e42,4.239e42,,,,-24.52,0.03,0.03,,,,,,,,,,,,,mass using formula [1]
96,J1535+1943,"Wang et al. (2019), Yang et al. (2021), D'Odorico et al. (2023)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://academic.oup.com/mnras/article/523/1/1399/7172883",DELS,15:35:32.87,+19:43:20.10,,6.370,0.001,0.001,3.53e9,0.33e9,0.33e9,33.5e46,1.7e46,1.7e46,0.8,0.1,0.1,-27.01,0.13,0.13,,,,,,,,,,,,,"z, mass, L_bol, f_Edd from Yang et al. (2021), coordinates from D'Odorico et al. (2023), additional information here: https://arxiv.org/pdf/2306.16474  Mazzucchelli et al. (2023)"
97,J1137+0045,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,11:37:53.64,+00:45:09.70,,6.4,,,1.979e8,2.517e7,2.233e7,,,,,,,-24.20,0.13,0.13,,,,,,,,,,,,,mass using formula [1]
98,J0844+0226,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,08:44:56.62,+02:26:40.50,,6.40,,,1.755e7,9.510e6,6.168e6,,,,,,,-21.57,0.47,0.47,,,,,,,,,,,,,mass using formula [1]
99,J2236+0032,"Banados et al. (2016), Matsuoka et al. (2016)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/0004-637X/828/1/26",HSC,22:36:44.58,+00:32:56.90,,6.40,,,1.203e8,1.161e7,1.059e7,,,,,,,-23.66,0.10,0.10,,,,,,,,,,,,,"M1450 from Matsuoka et al. (2016), very uncertain redshift, mass using formula [1]"
100,J0859+0022,"Banados et al. (2016), Ishimoto et al. (2020), Onoue et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf, https://arxiv.org/pdf/1904.07278",HSC,08:59:07.19,+00:22:55.90,,6.3903,0.0005,0.0005,0.38e8,0.10e8,0.18e8,,,,1.1,0.5,0.3,-23.10,0.27,0.27,,,,,,,,,,,,,"z from Ishimoto et al. (2020), M1450, mass, f_Edd from Onoue et al. (2019), L_bol (LyA) from Matsuoka et al. (2018)"
101,J1036-0232/J159.2-02.54/P159-02,"Banados et al. (2016), Decarli et al. (2018), Yue et al. (2024)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://arxiv.org/pdf/2309.04614",PSO,10:36:54.191,-02:32:37.94,,6.38,0.05,0.05,1.247e9,2.027e7,1.428e7,,,,0.93,,,-26.80,,,,,,,,,,,,1.380e10,1.640e10,7.778e9,"z, coordinates from Decarli et al. (2018), mass, f_Edd, M_star from Yue et al. (2024)"
102,J0803+3138,"Wang et al. (2019), Yang et al. (2021)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",DELS,08:03:05.42,+31:38:34.20,,6.377,0.006,0.006,1.40e9,0.18e9,0.18e9,13.4e46,1.1e46,1.1e46,0.8,0.1,0.1,-26.51,0.14,0.14,,,,,,,,,,,,,"mass, L_bol, f_Edd from Yang et al. (2021)"
103,J1152+0055,"Banados et al. (2016), Ishimoto et al. (2020), Onoue et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf, https://arxiv.org/pdf/1904.07278",VIK/HSC,11:52:21.27,+00:55:36.69,,6.3637,0.0005,0.0005,6.3e8,0.8e8,1.2e8,,,,0.43,0.08,0.05,-25.08,0.07,0.07,,,,,,,,,,,,,"z, mass from Ishimoto et al. (2020), mass, f_Edd from Onoue et al. (2019), L_bol from Matsuoka et al. (2018)"
104,J0211-0203,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,02:11:44.53,-02:03:03.90,,6.37,,,9.129e7,5.187e6,4.908e6,,,,,,,-23.36,0.06,0.06,43.64,0.04,0.04,,,,,,,,,,mass using formula [1]
105,J2304+0045,"Matsuoka et al. (2018), Ishimoto et al. (2020)","https://arxiv.org/pdf/1803.01861, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf	",HSC,23:04:22.97,+00:45:05.40,,6.3504,0.0002,0.0002,2.130e8,5.968e6,5.805e6,6.166e43,4.410e42,4.116e42,,,,-24.28,0.03,0.03,,,,,,,,,,,,,"z from Ishimoto et al. (2020), mass using formula [1]"
106,J1316+1028,"Wang et al. (2019), Yang et al. (2021)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",DELS,13:16:08.14,+10:28:32.80,,6.35,0.04,0.04,1.01e9,0.37e9,0.37e9,14.8e46,3.3e46,3.3e46,1.2,0.5,0.5,-25.73,0.17,0.17,,,,,,,,,,,,,"mass, L_bol, f_Edd from Yang et al. (2021)"
107,J0857+0056,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,08:57:38.53,+00:56:12.70,,6.35,,,6.613e7,4.404e6,4.129e6,,,,,,,-23.01,0.07,0.07,,,,,,,,,,,,,mass using formula [1]
108,J2255+0251,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,22:55:38.04,+02:51:26.60,,6.34,,,1.460e8,5.480e6,5.282e6,,,,,,,-23.87,0.04,0.04,,,,,,,,,,,,,mass using formula [1]
109,J2211-3206/J332.8-32.10,"Decarli et al. (2018), Mazzucchelli et al. (2023)","https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://arxiv.org/pdf/2306.16474",VIK/VST-ATLAS,22:11:12.391,-32:06:12.94,,6.3394,0.0010,0.0010,1.995e9,8.231e8,8.471e8,2.754e47,0.04,0.05,1.061834,0.449866,0.465366,-26.71,,,,,,,,,,,,,,,"mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023), additional information here: https://iopscience.iop.org/article/10.3847/1538-4357/ab2f75#apjab2f75fn1 Mazzucchelli et al. (2019), https://academic.oup.com/mnras/article/478/2/1649/4944228 Chehade et al. (2018)"
110,J1406-0116,"Matsuoka et al. (2018), Ishimoto et al. (2020)","https://arxiv.org/pdf/1803.01861, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,14:06:29.12,-01:16:11.20,,6.292,0.002,0.002,3.314e8,5.976e7,5.063e7,,,,,,,-24.76,0.18,0.18,,,,,,,,,,,,,mass using formula [1]
111,J1148+0702,"Decarli et al. (2018), Shen et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",ULAS,11:48:03.286,+07:02:08.33,,6.344,0.006,0.006,1.631e9,,,,,,,,,-26.49,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass using formula [1]"
112,J0142-3327/J025.6-33.46,"Carnall et al. (2015), Mazzucchelli et al. (2023)","https://academic.oup.com/mnrasl/article/451/1/L16/954689, https://arxiv.org/pdf/2306.16474",ATLAS,01:42:43.70,-33:27:45.72,,6.31,0.03,0.03,2.344e9,1.123e9,4.821e8,4.571e47,2.154e46,2.057e46,1.49988,0.722074,0.315783,-27.8,0.2,0.2,,,,,,,,,,,,,"mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
113,J1030+0524/J1030+05,"Banados et al. (2016), D'Odorico et al. (2023), Yue et al. (2024), Mazzucchelli et al. (2023)","https://arxiv.org/pdf/1608.03279, https://academic.oup.com/mnras/article/523/1/1399/7172883, https://arxiv.org/pdf/2309.04614, https://arxiv.org/pdf/2306.16474",SDSS,10:30:27.11,+05:24:55.06,,6.304,0.002,0.002,1.538e9,1.423e7,1.059e7,2.089e47,6.022e46,5.757e46,0.94,,,-26.99,,,,,,,,,,,,,,,"z from D'Odorico et al. (2023), mass, f_Edd from Yue et al. (2024), L_bol from Mazzucchelli et al. (2023)"
114,J1146-0005,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,11:46:58.89,-00:05:37.70,,6.30,,,1.586e7,1.248e7,6.984e6,,,,,,,-21.46,0.63,0.63,,,,,,,,,,,,,mass using formula [1]
115,J1525+4303,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,15:25:55.79,+43:03:24.00,,6.27,,,1.149e8,6.530e6,6.178e6,,,,,,,-23.61,0.06,0.06,,,,,,,,,,,,,mass using formula [1]
116,J1146+0124,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,11:46:48.42,+01:24:20.10,,6.27,,,1.260e8,8.392e6,7.868e6,,,,,,,-23.71,0.07,0.07,,,,,,,,,,,,,mass using formula [1]
117,J1623+3112,"Ishimoto et al. (2020), Eilers et al. (2017)","https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/aa6c60",SDSS,16:23:31.81,+31:12:00.53,,6.2572,0.0024,0.0024,1.723e9,,,,,,,,,-26.55,,,,,,,,,,,,,,,"Instrument from Eilers et al. (2017), mass using formula [1]"
118,J0050+3445,"Ishimoto et al. (2020), Eilers et al. (2017)","https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/aa6c60",CFHQS,00:55:02.91,+34:45:21.65,,6.253,0.003,0.003,1.979e9,,,,,,,,,-26.70,,,,,,,,,,,,,,,"Instrument from Eilers et al. (2017), mass using formula [1]"
119,J0323-4701,"Eilers et al. (2020), Reed et al. (2017)","https://arxiv.org/pdf/2002.01811, https://academic.oup.com/mnras/article/468/4/4702/3089747",VDES,03:23:40.340,-47:11:29.400,,6.241,0.002,0.002,0.28e9,0.20e9,0.20e9,6.457e46,,,1.76,1.24,1.24,-26.02,0.07,0.07,,,,,,,,,,,,,M1450 from Reed et al. (2017)
120,J0143-5545,Reed et al. (2017),https://academic.oup.com/mnras/article/468/4/4702/3089747,VDES,01:43:10.24,-55:45:10.68,,6.25,0.01,0.01,7.523e8,8.792e7,7.872e7,,,,,,,-25.65,0.12,0.12,,,,,,,,,,,,,mass using formula [1]
121,J0844-0052,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,08:44:31.60,-00:52:54.60,,6.25,,,1.295e8,3.056e7,2.473e7,,,,,,,-23.74,0.23,0.23,,,,,,,,,,,,,mass using formula [1]
122,J2032-2114/P308-21/J308.0-21.23,"Banados et al. (2016), Decarli et al. (2018)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa",PSO,20:32:09.996,-21:14:02.31,,6.24,0.05,0.05,1.434e9,,,,,,,,,-26.35,,,,,,,,,,,,,,,"coordinates, z from Decarli et al. (2018), mass using formula [1]"
123,J1048+4637,Banados et al. (2016),https://arxiv.org/pdf/1608.03279,SDSS,10:48:45.07,+46:37:18.55,,6.2284,,,3.254e9,,,,,,,,,-27.24,,,,,,,,,,,,,,,mass using formula [1]
124,J0410-4414,Reed et al. (2017),https://academic.oup.com/mnras/article/468/4/4702/3089747,VDES,04:10:03.23,-44:14:40.70,,6.21,0.01,0.01,1.181e9,1.021e8,9.398e7,,,,,,,-26.14,0.09,0.09,,,,,,,,,,,,,mass using formula [1]
125,J0136+0226,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",CFHQS,01:36:03.17,+02:26:05.70,,6.206,0.009,0.009,3.023e8,,,,,,,,,-24.66,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass using formula [1]"
126,J1217+0131/J184.3+01.52,"Banados et al. (2016), Wang et al. (2018)","https://arxiv.org/pdf/1608.03279, https://arxiv.org/pdf/1703.07490",PSO,12:17:21.34,+01:31:42.47,,6.17,0.05,0.05,5.813e8,,,,,,,,,-25.37,,,,,,,,,,,,,,,"z from Wang et al. (2018), mass using formula [1]"
127,J0227-0605,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",CFHQS/HSC/VIK,02:27:43.29,-06:05:30.20,,6.212,0.007,0.007,5.351e8,,,,,,,,,-25.28,,,,,,,,,,,,,,,mass using formula [1]
128,J1512+4422,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,15:12:48.71,+44:22:17.50,,6.19,,,2.782e7,1.044e6,1.006e6,,,,,,,-22.07,0.04,0.04,,,,,,,,,,,,,mass using formula [1]
129,J0918+0139,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,09:18:33.17,+01:39:23.30,,6.19,,,1.260e8,4.729e6,4.558e6,,,,,,,-23.71,0.04,0.04,,,,,,,,,,,,,mass using formula [1]
130,J1429+5447,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",CFHQS,14:29:52.17,+54:47:17.70,,6.119,0.008,0.008,1.139e9,,,,,,,,,-26.10,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass using formula [1]"
131,J2255+0503,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,22:55:20.78,+05:03:43.30,,6.18,,,2.446e8,4.547e6,4.464e6,,,,,,,-24.43,0.02,0.02,,,,,,,,,,,,,mass using formula [1]
132,J1425-0015,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854	,HSC,14:25:17.72,-00:15:40.90,,6.18,,,9.827e7,1.827e6,1.794e6,,,,,,,-23.44,0.02,0.02,,,,,,,,,,,,,mass using formula [1]
133,J0402+2451/J0402+2452/P060+24/J060+24/J060.5+24.85,"Banados et al. (2016), Shen et al. (2019), Mazzucchelli et al. (2023)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf, https://arxiv.org/pdf/2306.16474",PSO,04:02:12.69,+24:51:24.43,,6.170,0.006,0.006,1.514e9,2.647e8,2.833e8,1.995e47,4.036e46,4.104e46,1.014044,0.27115,0.281994,-26.95,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
134,J0844-0132,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,08:44:08.61,-01:32:16.50,,6.18,,,1.601e8,1.707e7,1.543e7,,,,,,,-23.97,0.11,0.11,,,,,,,,,,,,,mass using formula [1]
135,J0221-0802,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",CFHQS,02:21:22.71,-08:02:51.50,,6.161,0.054,0.054,3.136e8,,,,,,,,,-24.70,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass using formula [1]"
136,J1146-0154,Matsuoka et al. (2016),https://arxiv.org/pdf/1803.01861,HSC,11:46:32.66,-01:54:38.30,,6.16,,,9.736e7,6.484e6,6.079e6,,,,,,,-23.43,0.07,0.07,,,,,,,,,,,,,mass using formula [1]
137,J2219+0102/VIMOS2911001793,Kashikawa et al. (2015),https://arxiv.org/pdf/1410.7401,HSC,22:19:17.22,+01:02:48.90,,6.156,,,7.185e7,7.660e6,6.922e6,,,,,,,-23.10,0.11,0.11,,,,,,,,,,,,,mass using formula [1]
138,J1347-0157,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,13:47:33.69,-01:57:50.60,,6.15,,,3.224e8,5.994e6,5.885e6,,,,,,,-24.73,0.02,0.02,,,,,,,,,,,,,mass using formula [1]
139,J2356-0622/P359–06/J359.1-06.38,"Decarli et al. (2018), Wang et al. (2016), Mazzucchelli et al. (2023)","https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://arxiv.org/pdf/1602.04659, https://arxiv.org/pdf/2306.16474",PSO,23:56:32.455s,-06:22:59.26,,6.15,0.02,0.02,1.000e9,2.303e8,2.414e8,1.995e47,6.963e46,7.070e46,1.534817,0.641691,0.658087,-26.79,,,,,,,,,,,,,,,"z from Wang et al. (2016), mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
140,J1250+3130,"Banados et al. (2016), Ishimoto et al. (2020)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",SDSS,12:50:51.93,+31:30:21.90,,6.138,0.005,0.005,1.692e9,,,,,,,,,-26.53,,,,,,,,,,,,,,,"z from Ishimoto et al. (2020), mass using formula [1]"
141,J0909+0440,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,09:09:21.50,+04:40:42.90,,6.15,,,3.702e8,6.882e6,6.756e6,,,,,,,-24.88,0.02,0.02,,,,,,,,,,,,,mass using formula [1]
142,J0834+0211,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,08:34:00.88,+02:11:46.90,,6.15,,,1.723e8,1.490e7,1.371e7,,,,,,,-24.05,0.09,0.09,,,,,,,,,,,,,mass using formula [1]
143,J2318-3029,"Venemans et al. (2020), Decarli et al. (2018)","https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa",VIK,23:18:33.099,-30:29:33.58,,6.1456,0.0002,0.0002,1.260e9,,,,,,,,,-26.21,,,,,,,,,,,,,,,"M1450 from Decarli et al. (2018), mass using formula [1]"
144,J1448+4333,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,14:48:23.33,+43:33:05.90,,6.14,,,2.293e8,8.605e6,8.294e6,,,,,,,-24.36,0.04,0.04,,,,,,,,,,,,,mass using formula [1]
145,J0421-2657/P065–26/J065.4-26.95,"Decarli et al. (2018), Banados et al. (2016), Mazzucchelli et al. (2023)","https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://arxiv.org/pdf/1608.03279, https://arxiv.org/pdf/2306.16474",PSO,04:21:38.052,-26:57:15.60,,6.14,0.05,0.05,3.631e9,1.267e9,1.232e9,2.239e47,2.160e46,1.970e46,0.474304,0.171724,0.166258,-27.25,,,,,,,,,,,,,,,"M1450 from Banados et al. (2016), mas, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
146,J1401+2749/P210+27/J210.4+27.82,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",PSO/UHS,14:01:47.34,+27:49:35.03,,6.166,0.007,0.007,1.708e9,,,,,,,,,-26.54,,,,,,,,,,,,,,,"instrument, z from Shen et al. (2019), mass using formula [1]"
147,J1609+3041,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",ULAS,16:09:37.27,+30:41:47.78,,6.146,0.006,0.006,1.474e9,,,,,,,,,-26.38,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass using formula [1]"
148,J1431-0724/J217-07/J217.9-07.41,"Banados et al. (2016), D'Odorico et al. (2023), Mazzucchelli et al. (2023)","https://arxiv.org/pdf/1608.03279, https://academic.oup.com/mnras/article/523/1/1399/7172883, https://arxiv.org/pdf/2306.16474",PSO,14:31:40.45,-07:24:43.47,,6.166,0.004,0.004,7.943e8,3.538e8,3.677e8,1.349e47,5.565e46,5.546e46,1.306341,0.793116,0.808866,-26.35,,,,,,,,,,,,,,,"z, mass from D'Odorico et al. (2023), L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
149,J1319+0950/J1319+09,"D'Odorico et al. (2023), Venemans et al. (2020), Banados et al. (2016)","https://academic.oup.com/mnras/article/523/1/1399/7172883, https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://arxiv.org/pdf/1608.03279",ULAS,13:19:11.291,+09:50:51.49,,6.1347,0.0005,0.0005,3.388e9,4.135e8,3.685e8,1.995e47,3.490e46,3.357e46,0.452957,0.096595,0.126803,-27.05,,,,,,,,,,,,,,,"coordinates from Venemans et al. (2020), M1450 from Banados et al. (2016), L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
150,J1516+4228,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,15:16:57.87,+42:28:52.90,,6.13,,,2.272e8,2.102e6,2.083e6,,,,,,,-24.35,0.01,0.01,,,,,,,,,,,,,mass using formula [1]
151,J0001+0006,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,00:01:33.30,+00:06:05.40,,6.13,,,1.272e8,7.226e6,6.837e6,,,,,,,-23.72,0.06,0.06,,,,,,,,,,,,,mass using formula [1]
152,J1254-0014,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,12:54:37.08,-00:14:10.70,,6.13,,,9.559e6,3.276e6,2.440e6,,,,,,,-20.91,0.32,0.32,,,,,,,,,,,,,mass using formula [1]
153,J0033-0125,"Banados et al. (2016), Shen et al. (2019)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf",CFHQS,00:33:11.40,-01:25:24.90,,5.978,0.010,0.010,4.703e8,,,,,,,,,-25.14,,,,,,,,,,,,,,,"z from Shen et al. (2019), mass using formula [1]"
154,J1509-1749/J1509-1,"Decarli et al. (2018), D'Odorico et al. (2023), Mazzucchelli et al. (2023)","https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://academic.oup.com/mnras/article/523/1/1399/7172883, https://arxiv.org/pdf/2306.16474",CFHQS,15:09:41.778,-17:49:26.80,,6.1225,0.0007,0.0006,1.995e9,8.231e8,7.930e8,2.344e47,3.473e46,3.944e46,0.903767,0.396152,0.329876,-27.14,,,,,,,,,,,,,,,"mass from D'Odorico et al. (2023), L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
155,J0422-1927/P065–19/J065.5-19.45,Decarli et al. (2018),https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa,PSO,04:22:00.994,-19:27:28.68,,6.12,0.05,0.05,1.838e9,,,,,,,,,-26.62,,,,,,,,,,,,,,,mass using formula [1]
156,J1427+3312,"Banados et al. (2016), Shen et al. (2019), Khusanova et al. (2022)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/ab03d9/pdf, https://www.aanda.org/articles/aa/full_html/2022/08/aa43660-22/aa43660-22.html",FIRST,14:27:38.59,+33:12:42.00,,6.118,0.005,0.005,1.139e9,,,,,,,,,-26.10,,,,,,30-90,,,,,,,,,"z from Shen et al. (2019), SFR_CII from Khusanova et al. (2022), mass using formula [1]"
157,J2315-0023,"Banados et al. (2016), Jiang et al. (2008)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.1088/0004-6256/135/3/1057",SDSS,23:15:46.57,-00:23:58.10,,6.117,0.006,0.006,4.703e8,,,,,,,,,-25.14,,,,,,,,,,,,,,,"z from Jiang et al. (2008), mass using formula [1]"
158,J2252+0225,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,22:52:05.44,+02:25:31.90,,6.12,,,5.157e7,2.930e6,2.773e6,,,,,,,-22.74,0.06,0.06,,,,,,,,,,,,,mass using formula [1]
159,J1558-0724/J239-07/J239.7-07.40,"Banados et al. (2016), Eilers et al. (2020)","https://arxiv.org/pdf/1608.03279, https://arxiv.org/pdf/2002.01811",PSO,15:58:50.99,-07:24:09.59,,6.1097,0.0024,0.0024,2.99e9,0.09e9,0.09e9,2.138e47,,,0.55,0.02,0.02,-27.46,,,,,,,,,,,,,,,"z, mass, L_bol, f_Edd from Eilers et al. (2020)"
160,J1428-1602/P217–16/J217.0-16.04,"Decarli et al. (2018), Mazzucchelli et al. (2023)","https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://arxiv.org/pdf/2306.16474",PSO,14:28:21.394,-16:02:43.29,,6.11,0.05,0.05,1.047e9,5.747e8,5.685e8,1.820e47,3.681e46,3.743e46,1.33677,0.78188,0.77608,-26.93,,,,,,,,,,,,,,,"mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
161,J0004-0049,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,00:04:45.81,-00:49:44.30,,6.10,,,1.501e8,8.529e6,8.070e6,,,,,,,-23.90,0.06,0.06,,,,,,,,,,,,,mass using formula [1]
162,J0454-4448,"Reed et al. (2017), Decarli et al. (2018)","https://academic.oup.com/mnras/article/468/4/4702/3089747, https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa",VDES,04:54:01.79,-44:48:31.10,,6.0581,0.0006,0.0006,1.447e9,6.818e7,6.512e7,,,,,,,-26.36,0.05,0.05,,,,,,,,,,,,,"z from Decarli et al. (2018), mass using formula [1]"
163,J0009+3252/J002.3+32.87,Banados et al. (2016),https://arxiv.org/pdf/1608.03279,PSO,00:09:30.89,+32:52:12.94,,6.10,,,7.523e8,,,,,,,,,-25.65,,,,,,,,,,,,,,,mass using formula [1]
164,J1406-0144,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,14:06:46.88,-01:44:02.60,,6.10,,,9.213e7,1.463e7,1.262e7,,,,,,,-23.37,0.16,0.16,,,,,,,,,,,,,mass using formula [1]
